#lon	#trans
911	0.88932
912	0.88941
913	0.88937
914	0.88942
915	0.88944
916	0.88927
917	0.88943
918	0.88936
919	0.88925
920	0.88916
921	0.88912
922	0.88926
923	0.88918
924	0.88899
925	0.88901
926	0.88903
927	0.88878
928	0.88881
929	0.88877
930	0.88853
931	0.88833
932	0.8887
933	0.88854
934	0.88845
935	0.88847
936	0.88833
937	0.88832
938	0.88818
939	0.88812
940	0.88813
941	0.88813
942	0.8881
943	0.88794
944	0.88786
945	0.88785
946	0.88798
947	0.88781
948	0.88776
949	0.88749
950	0.88764
951	0.8876
952	0.88756
953	0.88743
954	0.88766
955	0.88752
956	0.88725
957	0.88728
958	0.88735
959	0.88714
960	0.88715
961	0.88725
962	0.88716
963	0.88703
964	0.88697
965	0.88704
966	0.88686
967	0.8871
968	0.8869
969	0.88679
970	0.88691
971	0.88699
972	0.88672
973	0.88693
974	0.88682
975	0.8868
976	0.88683
977	0.88668
978	0.88657
979	0.88641
980	0.88612
981	0.88619
982	0.88617
983	0.88619
984	0.88616
985	0.88611
986	0.88607
987	0.88605
988	0.88605
989	0.88601
990	0.88604
991	0.88596
992	0.88598
993	0.88588
994	0.8858
995	0.88586
996	0.88568
997	0.88581
998	0.88583
999	0.88569
1000	0.88569
1001	0.88567
1002	0.88562
1003	0.88529
1004	0.88526
1005	0.88513
1006	0.88499
1007	0.88558
1008	0.88546
1009	0.88541
1010	0.8854
1011	0.88535
1012	0.88532
1013	0.88537
1014	0.88537
1015	0.88549
1016	0.88538
1017	0.88528
1018	0.88537
1019	0.8854
1020	0.88539
1021	0.88528
1022	0.88525
1023	0.88539
1024	0.88535
1025	0.88532
1026	0.88531
1027	0.88527
1028	0.88535
1029	0.88502
1030	0.88516
1031	0.88517
1032	0.88515
1033	0.88544
1034	0.88533
1035	0.88533
1036	0.88522
1037	0.88529
1038	0.88503
1039	0.88545
1040	0.8852
1041	0.88531
1042	0.88549
1043	0.88542
1044	0.88534
1045	0.88558
1046	0.88544
1047	0.88586
1048	0.88544
1049	0.88568
1050	0.88565
1051	0.8856
1052	0.88557
1053	0.88557
1054	0.88536
1055	0.88506
1056	0.88588
1057	0.8856
1058	0.88529
1059	0.88568
1060	0.88556
1061	0.8856
1062	0.88553
1063	0.88535
1064	0.88548
1065	0.88563
1066	0.88564
1067	0.88561
1068	0.88577
1069	0.88569
1070	0.88547
1071	0.8859
1072	0.88564
1073	0.88559
1074	0.88568
1075	0.88581
1076	0.88571
1077	0.8855
1078	0.88542
1079	0.88565
1080	0.88575
1081	0.88561
1082	0.88546
1083	0.88588
1084	0.88596
1085	0.88594
1086	0.88611
1087	0.88609
1088	0.88554
1089	0.8858
1090	0.88607
1091	0.88591
1092	0.8856
1093	0.88618
1094	0.88609
1095	0.88592
1096	0.88571
1097	0.88557
1098	0.88602
1099	0.88624
1100	0.88619
